,0
2015-11-23,-inf
2015-11-24,-1.608213065089449
2015-11-25,0.38486563553221265
2015-11-27,0.3723078483880571
2015-11-30,-2.996641161037751
2015-12-01,1.9340276896934239
2015-12-02,0.9105463529443079
2015-12-03,-0.6111593880123032
2015-12-04,-4.249378856848759
2015-12-07,-0.3166100434992611
2015-12-08,-1.1776797324325392
2015-12-09,-1.2209498769084839
2015-12-10,-1.4464713256933657
2015-12-11,72.26730173095973
2015-12-14,-3.330671578283708
2015-12-15,0.33641624885051136
2015-12-16,-0.9611328141675664
2015-12-17,-1.8124314261819048
2015-12-18,0.3058923039231258
2015-12-21,-3.796870181716887
2015-12-22,-1.4026773017364924
2015-12-23,-0.6842954657365831
2015-12-24,-0.1354790156211989
2015-12-28,-2.27639802930596
2015-12-29,-4.543562151556554
2015-12-30,-1.4846384519963272
2015-12-31,0.12377452992518156
2016-01-04,-0.6030289924832517
2016-01-05,1.1904043515845009
2016-01-06,-1.0514615320578806
2016-01-07,-10.034793358575621
2016-01-08,-1.1968775750912006
2016-01-11,-0.23930472024910546
2016-01-12,3.12992482308766
2016-01-13,-3.0827911366036798
2016-01-14,-0.8293680248701608
2016-01-15,-2.178825004908175
2016-01-19,-0.41319584046373753
2016-01-20,-3.094094297651402
2016-01-21,4.756982667814522
2016-01-22,-0.7748298641349968
2016-01-25,-0.9515868099902802
2016-01-26,-0.24982863431415978
2016-01-27,-0.9618864955008011
2016-01-28,-2.51700724545358
2016-01-29,5.725048481560749
2016-02-01,-0.9176356418945287
2016-02-02,5.976908346282946
2016-02-03,-1.1687467596548975
2016-02-04,-3.6397393067989077
2016-02-05,-1.7315384653613406
2016-02-08,-1.3676452854135617
2016-02-09,5.650421514681065
2016-02-10,-2.2043523479553553
2016-02-11,4.620661709376582
2016-02-12,-3.8520272661541055
2016-02-16,-0.5166535976218931
2016-02-17,-1.5274903267338784
2016-02-18,-2.8914283404393037
2016-02-19,-0.00888296778648201
2016-02-22,-12.894669649606673
2016-02-23,-1.6885810264986645
2016-02-24,-1.2014273038767294
2016-02-25,-2.0709276887578443
2016-02-26,-2.0907351655696673
2016-02-29,0.4280034879042763
2016-03-01,-1.8380465715634617
2016-03-02,-0.466092622407518
2016-03-03,-0.08823965678906351
2016-03-04,-3.10850823806317
2016-03-07,-1.5408274249420695
2016-03-08,-2.0167475922831577
2016-03-09,-1.4321095907699695
2016-03-10,-1.5775531246669594
2016-03-11,0.646438739820206
2016-03-14,-1.526855281581848
2016-03-15,-0.12600542939446857
2016-03-16,-0.8191066176638917
2016-03-17,1.9540486659817282
2016-03-18,-0.5899806425074506
2016-03-21,3.0717709227474495
2016-03-22,-1.4261918517284886
2016-03-23,-0.4931505421350679
2016-03-24,5.2937994210370345
2016-03-28,-0.44728956922805596
2016-03-29,-1.7915434618240407
2016-03-30,-2.0901247157447997
2016-03-31,-0.7569145333164626
2016-04-01,-7.10492757478926
2016-04-04,-0.9510305512144159
2016-04-05,2.241845927043521
2016-04-06,-9.956800301670233
2016-04-07,-2.0334414145850523
2016-04-08,-1.6453302690860412
2016-04-11,-0.2652460999666211
2016-04-12,-3.5308706901801283
2016-04-13,-1.8632518689461823
2016-04-14,-6.516956636875278
2016-04-15,-0.7600053667765024
2016-04-18,2.290353231687617
2016-04-19,-1.282312109659782
2016-04-20,1.28354560928512
2016-04-21,0.5993555298939583
2016-04-22,-1.2362389822189452
2016-04-25,0.6291896285362594
2016-04-26,-1.7884333660225986
2016-04-27,-0.760406493587336
2016-04-28,-1.895685133794666
2016-04-29,0.42784310502837763
2016-05-02,-1.100633603394923
2016-05-03,-1.3049780520721344
2016-05-04,0.004722195550364849
2016-05-05,0.6003921806656795
2016-05-06,13.007854268910638
2016-05-09,-5.839980380129071
2016-05-10,-0.622965602438103
2016-05-11,0.7814275404475368
2016-05-12,-0.457536843133833
2016-05-13,-1.6860948215110052
2016-05-16,-5.7810799545544596
2016-05-17,-1.6060368096546824
2016-05-18,2.1514625473993316
2016-05-19,-3.128952964378476
2016-05-20,-6.903126622138301
2016-05-23,-1.35359807691664
2016-05-24,1.400518456185286
2016-05-25,-0.8544432388389522
2016-05-26,-1.0945947938322336
2016-05-27,-0.17225784746849476
2016-05-31,-0.23126342065546387
2016-06-01,-4.058636935042838
2016-06-02,-1.4998217954995152
2016-06-03,-2.896249019773086
2016-06-06,-2.3061085237075982
2016-06-07,-19.748083375310827
2016-06-08,-3.7406989845303062
2016-06-09,6.686829581054892
2016-06-10,-1.0193832303604924
2016-06-13,-3.185438577592347
2016-06-14,-0.9451678038595381
2016-06-15,-1.5520407994490506
2016-06-16,-0.47423993439841666
2016-06-17,-1.058610617212896
2016-06-20,-4.88119942511928
2016-06-21,-0.9191035856857227
2016-06-22,-2.1880044109488668
2016-06-23,-0.9612436173573693
2016-06-24,-2.672744769595713
2016-06-27,0.18821750149485872
2016-06-28,-2.3120269573801933
2016-06-29,23.534673486812377
2016-06-30,-7.989241241899878
2016-07-01,-0.8959237039296262
2016-07-05,-1.8906870736794394
2016-07-06,-3.0401103420429036
2016-07-07,-0.8539145659835636
2016-07-08,1.5791941630248738
2016-07-11,-0.8862375309256865
2016-07-12,-2.7416034659144737
2016-07-13,-1.4120158116211012
2016-07-14,-0.7134306368623807
2016-07-15,-3.2262918466373915
2016-07-18,-2.418756042401761
2016-07-19,-1.9940750910045633
2016-07-20,-0.6284743455990209
2016-07-21,1.9731424052082671
2016-07-22,-2.061877980430209
2016-07-25,-0.09410885905801303
2016-07-26,-1.6869980336597121
2016-07-27,2.6785509412335857
