,0
2015-11-20,-0.006732422423922496
2015-11-23,-0.015058750932354953
2015-11-24,-0.0034381923854138186
2015-11-25,0.0018953846654085893
2015-11-27,0.003875863733378976
2015-11-30,-0.012120367289093575
2015-12-01,0.0010033740136518032
2015-12-02,-0.008209395497829813
2015-12-03,-0.0070223742020414925
2015-12-04,0.01414628627708242
2015-12-07,0.005416809537538675
2015-12-08,-0.010173761455438773
2015-12-09,-0.010239855215554233
2015-12-10,0.004687147318994694
2015-12-11,-0.016665377798661285
2015-12-14,0.014489097427335729
2015-12-15,0.00604678593068983
2015-12-16,0.006185574972750879
2015-12-17,-0.008093237190265945
2015-12-18,-0.0070013839187669236
2015-12-21,0.0006505460893157511
2015-12-22,0.012073973026357987
2015-12-23,0.001815554995797275
2015-12-24,0.002259603454416975
2015-12-28,-0.0012243483163281166
2015-12-29,0.007771668315158381
2015-12-30,-0.003445250476908246
2015-12-31,-6.421246480453613e-05
2016-01-04,-0.028576769103640987
2016-01-05,-0.0017583572417942672
2016-01-06,0.0017899628809140145
2016-01-07,-0.016903922900366714
2016-01-08,-0.005115168568210565
2016-01-11,0.015258969883946538
2016-01-12,0.008152210661091841
2016-01-13,-0.03477105245109205
2016-01-14,-0.009621845742256635
2016-01-15,-0.023403601946517777
2016-01-19,-0.021351197540623035
2016-01-20,-0.009103432776616183
2016-01-21,0.014640089273227491
2016-01-22,0.00968734368589555
2016-01-25,-0.0026406131569373936
2016-01-26,0.003922501153432928
2016-01-27,-0.020195848357208918
2016-01-28,-0.013007783813968832
2016-01-29,0.0022943965888118645
2016-02-01,0.009532858787106191
2016-02-02,-0.01301138797783627
2016-02-03,0.009426186063694747
2016-02-04,0.017756071721608258
2016-02-05,-0.012128530927788483
2016-02-08,-0.002493396147532828
2016-02-09,0.009819949381219967
2016-02-10,0.005426285653427038
2016-02-11,-0.013037595900275978
2016-02-12,0.03464427731894093
2016-02-16,0.02402511236772381
2016-02-17,-0.007038186023831938
2016-02-18,-0.007139882151447868
2016-02-19,-0.002730359467569443
2016-02-22,0.020446232640584316
2016-02-23,-0.01768135499380913
2016-02-24,0.00964127603275336
2016-02-25,0.01721137962685565
2016-02-26,-0.010588104631493012
2016-02-29,-0.002427513177809093
2016-03-01,0.018835291545840793
2016-03-02,0.026772027309564322
2016-03-03,0.005004249828244212
2016-03-04,-0.0022861827982037786
2016-03-07,0.01859507899500623
2016-03-08,-0.01979193905144469
2016-03-09,0.005129381436872915
2016-03-10,-0.012530638901084468
2016-03-11,-8.816181548562674e-05
2016-03-14,0.01561787494646416
2016-03-15,0.007532533206046577
2016-03-16,0.0009233907377611816
2016-03-17,0.0027370483037782722
2016-03-18,0.005083918860732117
2016-03-21,0.039075730357276184
2016-03-22,-0.004567952193062247
2016-03-23,-0.02016926854771431
2016-03-24,0.012512131966258055
2016-03-28,0.012777878348181226
2016-03-29,0.007784753723260623
2016-03-30,0.024623835905799446
2016-03-31,0.0022873257340938757
2016-04-01,-0.0103442501600359
2016-04-04,0.0013516499043455255
2016-04-05,-0.0007744984723500603
2016-04-06,0.020600256720867238
2016-04-07,-0.012063280250627972
2016-04-08,0.006944981489849539
2016-04-11,-0.0003789000333907777
2016-04-12,0.014122100605490517
2016-04-13,-0.005710702881742524
2016-04-14,-0.002947275273266603
2016-04-15,-0.0059720768325266516
2016-04-18,0.009866889805756007
2016-04-19,-0.005399657739481367
2016-04-20,-0.010051742041252254
2016-04-21,-0.008534402611124065
2016-04-22,0.00452992735818325
2016-04-25,0.007230431046678115
2016-04-26,0.010655588244834119
2016-04-27,0.008460732451196745
2016-04-28,-0.003477899201947965
2016-04-29,-0.037166174432099686
2016-05-02,-0.010749752997024825
2016-05-03,-0.01805098816389128
2016-05-04,-0.007950752747527767
2016-05-05,-0.007866116520886285
2016-05-06,-0.05385534182363877
2016-05-09,-0.002143972779331371
2016-05-10,0.007052376180054526
2016-05-11,-0.02615793260424018
2016-05-12,-0.013681644261125503
2016-05-13,-0.007944253449120031
2016-05-16,0.0040254826706294655
2016-05-17,-0.006856778238901184
2016-05-18,-0.0006153606984980187
2016-05-19,0.027013237438730492
2016-05-20,-0.0010195695142257155
2016-05-23,0.0016283799469523907
2016-05-24,0.03150362801068113
2016-05-25,-0.0009721226755098344
2016-05-26,-0.008096606003574147
2016-05-27,-0.0005829441427936122
2016-05-31,0.0013892068190066442
2016-06-01,-0.001016046384244934
2016-06-02,0.003690843118600018
2016-06-03,-0.006677567528425965
2016-06-06,0.00613985202841702
2016-06-07,0.003064218232006144
2016-06-08,0.0021024933011918323
2016-06-09,-0.010213727395859684
2016-06-10,-0.01009671951419469
2016-06-13,-0.011657382004095607
2016-06-14,-0.0003555100257345012
2016-06-15,0.0041797851245591044
2016-06-16,0.002541821190813559
2016-06-17,-0.002134802408820219
2016-06-20,0.008552692007909535
2016-06-21,0.003070088953730371
2016-06-22,-0.013896173846445231
2016-06-23,0.01697160962120231
2016-06-24,-0.025591172107231136
2016-06-27,-0.01430345127544222
2016-06-28,0.02334330089762493
2016-06-29,0.018375881364670915
2016-06-30,0.0019505720441375107
2016-07-01,0.011159211175999523
2016-07-05,-0.010416596955489937
2016-07-06,0.0078027298384272525
2016-07-07,0.0007836173563495752
2016-07-08,0.014141380742073495
2016-07-11,-0.0006160834486969857
2016-07-12,0.0034000027109794273
2016-07-13,-0.0031374790422764587
2016-07-14,0.0034144030961339167
2016-07-15,-0.0031892063472367393
2016-07-18,0.0037604357991916637
2016-07-19,-0.0033230990405913874
2016-07-20,0.010047726543210372
